player_name,draft_year,draft_pick,college,college_college,final_season,draft_round,pass_attempts,completions,passing_yards,passing_tds,interceptions,games_played,opponents,leaf_name,college_nfl,nfl_team,round,pick,rookie_games,rookie_attempts,rookie_leaf_mean,rookie_leaf_final,rookie_leaf_std,rookie_leaf_min,rookie_leaf_max,rookie_epa_mean,rookie_cpoe_mean,college_games_played,competition_tier,sos_sp_plus,team_sp_plus
Logan Thomas,2014,120,Virginia Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Murray,2014,163,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJ McCarron,2014,164,Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jameis Winston,2015,1,Florida State,Florida State,2014.0,1.0,,,,,,14.0,,J.Winston,Florida St.,TAM,1.0,1.0,16.0,0.0,-0.0116285458922431,0.051797122694383,0.0742443535778879,-0.1495537869123131,0.0711684582746312,,,14.0,High,,28.5
Marcus Mariota,2015,2,Oregon,Oregon,2014.0,1.0,,,,,,15.0,,M.Mariota,Oregon,TEN,1.0,2.0,12.0,0.0,0.146068749741815,-0.1210482025371737,0.2321330128928809,-0.1210482025371737,0.7227518201400923,,,15.0,High,,24.7
Sean Mannion,2015,89,Oregon State,Oregon State,2014.0,3.0,,,,,,12.0,,S.Mannion,Oregon St.,STL,3.0,89.0,1.0,0.0,-0.2030038375684063,-0.2030038375684063,,-0.2030038375684063,-0.2030038375684063,,,12.0,Medium,,3.2
Jared Goff,2016,1,California,California,2015.0,1.0,,,,,,13.0,,J.Goff,California,LAR,1.0,1.0,7.0,0.0,-0.349221070892647,-0.4166481213427109,0.0426897973852568,-0.4166481213427109,-0.2956947894589649,,,13.0,High,,12.1
Carson Wentz,2016,2,North Dakota State,North Dakota State,2015.0,1.0,,,,,,15.0,,C.Wentz,North Dakota St.,PHI,1.0,2.0,16.0,0.0,0.0035298668547335,-0.1027187517532201,0.0892159508910542,-0.1027187517532201,0.1772849619698203,,,15.0,High,,
Paxton Lynch,2016,26,Memphis,Memphis,2015.0,1.0,,,,,,13.0,,P.Lynch,Memphis,DEN,1.0,26.0,3.0,0.0,0.0623433125620617,-0.1180947771756119,0.1683727764627029,-0.1180947771756119,0.2152597551649654,,,13.0,High,,8.0
Jacoby Brissett,2016,91,NC State,NC State,2015.0,3.0,,,,,,13.0,,J.Brissett,North Carolina St.,NWE,3.0,91.0,3.0,0.0,-0.1133930913547199,-0.1178587307236281,0.0363818881815341,-0.1473360278672522,-0.0749845154732795,,,13.0,High,,9.6
Cody Kessler,2016,93,USC,USC,2015.0,3.0,,,,,,14.0,,C.Kessler,USC,CLE,3.0,93.0,9.0,0.0,0.0269956447216944,-0.0226229105930739,0.0565238820060131,-0.0650652152528146,0.1029734395053259,,,14.0,High,,16.8
Connor Cook,2016,100,Michigan State,Michigan State,2015.0,4.0,,,,,,14.0,,C.Cook,Michigan St.,OAK,4.0,100.0,2.0,0.0,-0.4177917797697064,-0.3835223208363981,0.0484643335986724,-0.4520612387030147,-0.3835223208363981,,,14.0,High,,15.6
Dak Prescott,2016,135,Mississippi State,Mississippi State,2015.0,4.0,,,,,,13.0,,D.Prescott,Mississippi St.,DAL,4.0,135.0,17.0,0.0,0.1465490259269362,0.1355817368327831,0.0694981890248542,-0.0439418212548599,0.237641058765541,,,13.0,High,,15.1
Cardale Jones,2016,139,Ohio State,Ohio State,2015.0,4.0,,,,,,13.0,,C.Jones,Ohio St.,BUF,4.0,139.0,1.0,0.0,-0.7074195124284335,-0.7074195124284335,,-0.7074195124284335,-0.7074195124284335,,,13.0,High,,29.5
Kevin Hogan,2016,162,Stanford,Stanford,2015.0,5.0,,,,,,14.0,,K.Hogan,Stanford,KAN,5.0,162.0,2.0,0.0,-0.4857403031757431,-0.4928174177030167,0.0100085513469379,-0.4928174177030167,-0.4786631886484695,,,14.0,High,,22.8
Mitchell Trubisky,2017,2,North Carolina,North Carolina,2016.0,1.0,,,,,,13.0,,M.Trubisky,North Carolina,CHI,1.0,2.0,12.0,0.0,-0.1842378169193229,-0.1375972803816052,0.0649240380348819,-0.28675546907035,-0.1096368938430264,,,13.0,High,,15.9
Patrick Mahomes,2017,10,Texas Tech,Texas Tech,2016.0,1.0,,,,,,12.0,,P.Mahomes,Texas Tech,KAN,1.0,10.0,1.0,0.0,0.1709549461816212,0.1709549461816212,,0.1709549461816212,0.1709549461816212,,,12.0,Medium,,3.7
Deshaun Watson,2017,12,Clemson,Clemson,2016.0,1.0,,,,,,15.0,,D.Watson,Clemson,HOU,1.0,12.0,7.0,0.0,-0.2608106912645114,-0.0377194517988557,0.2203037507578218,-0.5577790634694866,-0.0377194517988557,,,15.0,High,,28.7
DeShone Kizer,2017,52,Notre Dame,Notre Dame,2016.0,2.0,,,,,,12.0,,D.Kizer,Notre Dame,CLE,2.0,52.0,15.0,0.0,-0.3139972880677403,-0.266158252781785,0.0744626942655992,-0.3904062420357641,-0.0871561129209942,,,12.0,Medium,,15.7
C.J. Beathard,2017,104,Iowa,Iowa,2016.0,3.0,,,,,,13.0,,C.Beathard,Iowa,SFO,3.0,104.0,6.0,0.0,-0.1707394729089748,-0.1421995180177211,0.0925781443603888,-0.2710037087241078,-0.0353267278726682,,,13.0,High,,10.3
Nathan Peterman,2017,171,Pittsburgh,Pittsburgh,2016.0,5.0,,,,,,13.0,,N.Peterman,Pittsburgh,BUF,5.0,171.0,5.0,0.0,-0.2360363846321031,-0.4349038702671576,0.3904219733205055,-0.4851653544901579,0.4541608110838406,,,13.0,High,,13.1
Baker Mayfield,2018,1,Oklahoma,Oklahoma,2017.0,1.0,,,,,,14.0,,B.Mayfield,Oklahoma,CLE,1.0,1.0,14.0,0.0,0.0164108364982542,0.0835732515220013,0.1067068518290007,-0.1271251622549421,0.2181074211181653,,,14.0,High,,25.5
Sam Darnold,2018,3,USC,USC,2017.0,1.0,,,,,,14.0,,S.Darnold,USC,NYJ,1.0,3.0,13.0,0.0,-0.0145699298979516,-0.0116952271717492,0.0710505328405933,-0.0923932098160991,0.193145238944397,,,14.0,High,,17.9
Josh Allen,2018,7,Wyoming,Wyoming,2017.0,1.0,,,,,,13.0,,J.Allen,Wyoming,BUF,1.0,7.0,12.0,0.0,-0.1207762878778059,-0.1300433451152344,0.0654715080717807,-0.201921209045198,-0.0094065166967847,,,13.0,High,,-2.5
Josh Rosen,2018,10,UCLA,UCLA,2017.0,1.0,,,,,,13.0,,J.Rosen,UCLA,ARI,1.0,10.0,14.0,0.0,-0.2298309272198516,-0.3393928136885026,0.0878790587509586,-0.3393928136885026,-0.0335074528349192,,,13.0,High,,4.9
Lamar Jackson,2018,32,Louisville,Louisville,2017.0,1.0,,,,,,13.0,,L.Jackson,Louisville,BAL,1.0,32.0,13.0,0.0,-0.144389732611673,-0.0523321520049558,0.1542428156961182,-0.4395976804649366,0.0516160532516103,,,13.0,High,,19.2
Kyle Lauletta,2018,108,Richmond,Richmond,2017.0,4.0,,,,,,11.0,,K.Lauletta,Richmond,NYG,4.0,108.0,1.0,0.0,-1.6374914912567635,-1.6374914912567635,,-1.6374914912567635,-1.6374914912567635,,,11.0,Medium,,
Kyler Murray,2019,1,Oklahoma,Oklahoma,2018.0,1.0,,,,,,14.0,,K.Murray,Oklahoma,ARI,1.0,1.0,16.0,0.0,-0.0663593879443622,-0.041229474459503,0.0506904253965965,-0.1657309538797362,0.0104929579112106,,,14.0,High,,24.9
Daniel Jones,2019,6,Duke,Duke,2018.0,1.0,,,,,,13.0,,D.Jones,Duke,NYG,1.0,6.0,13.0,0.0,-0.1519505766608283,-0.1427410977345314,0.0766208582168105,-0.22595400157964,-0.001318339298662,,,13.0,High,,5.0
Dwayne Haskins,2019,15,Ohio State,Ohio State,2018.0,1.0,,,,,,14.0,,D.Haskins,Ohio St.,WAS,1.0,15.0,9.0,0.0,-0.575462035980848,-0.2757263444291308,0.2052020615869648,-0.9849196877223798,-0.2757263444291308,,,14.0,High,,24.1
Drew Lock,2019,42,Missouri,Missouri,2018.0,2.0,,,,,,13.0,,D.Lock,Missouri,DEN,2.0,42.0,5.0,0.0,0.116720299850732,0.1083338240710337,0.0981300959850462,-0.0281494052874783,0.2479354220940882,,,13.0,High,,20.8
Will Grier,2019,100,West Virginia,West Virginia,2018.0,3.0,,,,,,12.0,,W.Grier,West Virginia,CAR,3.0,100.0,2.0,0.0,-0.625739677371351,-0.9735059951877916,0.4918158431925623,-0.9735059951877916,-0.2779733595549106,,,12.0,Medium,,13.2
Ryan Finley,2019,104,NC State,NC State,2018.0,4.0,,,,,,13.0,,R.Finley,North Carolina St.,CIN,4.0,104.0,3.0,0.0,-0.5851547409654109,-0.5267350207556043,0.0512725168905534,-0.6226846495225791,-0.5267350207556043,,,13.0,High,,9.4
Jarrett Stidham,2019,133,Auburn,Auburn,2018.0,4.0,,,,,,13.0,,J.Stidham,Auburn,NWE,4.0,133.0,2.0,0.0,-1.2896721074958306,-1.2708448397878291,0.0266257773350847,-1.308499375203832,-1.2708448397878291,,,13.0,High,,23.6
Gardner Minshew II,2019,178,Washington State,Washington St.,2018.0,6.0,,,,,,0.0,,G.Minshew II,Washington St.,JAX,6.0,178.0,8.0,0.0,-0.0479133845616439,-0.0498829755443527,0.0177096351107951,-0.069217045744413,-0.017518591041713,,,0.0,,,
Joe Burrow,2020,1,LSU,LSU,2019.0,1.0,,,,,,15.0,,J.Burrow,LSU,CIN,1.0,1.0,10.0,0.0,0.0169876301729278,0.0464460312720899,0.067775605141711,-0.1403851028617896,0.0997647411521509,,,15.0,High,,33.1
Tua Tagovailoa,2020,5,Alabama,Alabama,2019.0,1.0,,,,,,13.0,,T.Tagovailoa,Alabama,MIA,1.0,5.0,10.0,0.0,-0.0473925558279531,-0.1221697905673052,0.0788629950726209,-0.1426406181034099,0.1227380834218906,,,13.0,High,,32.4
Justin Herbert,2020,6,Oregon,Oregon,2019.0,1.0,,,,,,14.0,,J.Herbert,Oregon,LAC,1.0,6.0,15.0,0.0,0.0573627447931921,0.0926148897445651,0.046222258811854,-0.0546888940679463,0.1065274389617231,,,14.0,High,,19.0
Jalen Hurts,2020,53,Oklahoma,Oklahoma,2019.0,2.0,,,,,,14.0,,J.Hurts,Oklahoma,PHI,2.0,53.0,9.0,0.0,0.1890527294635663,-0.0331057519562528,0.2678445290119487,-0.0331057519562528,0.8786838401820454,,,14.0,High,,22.9
Jake Luton,2020,189,Oregon State,Oregon State,2019.0,6.0,,,,,,12.0,,J.Luton,Oregon St.,JAX,6.0,189.0,3.0,0.0,-0.0634226464190384,-0.2841820984594256,0.2212511559567622,-0.2841820984594256,0.1583169568609856,,,12.0,Medium,,-0.7
Ben DiNucci,2020,231,James Madison,James Madison,2019.0,7.0,,,,,,16.0,,B.DiNucci,James Madison,DAL,7.0,231.0,2.0,0.0,-0.4729410404618955,-0.4582258952416941,0.0208103579426985,-0.487656185682097,-0.4582258952416941,,,16.0,,,
Trevor Lawrence,2021,1,Clemson,Clemson,2020.0,1.0,,,,,,12.0,,T.Lawrence,Clemson,JAX,1.0,1.0,17.0,0.0,-0.1398522563381176,-0.1259669319788985,0.0679128280547745,-0.266148626929145,0.071119181900086,,,12.0,Medium,,26.1
Zach Wilson,2021,2,BYU,BYU,2020.0,1.0,,,,,,12.0,,Z.Wilson,BYU,NYJ,1.0,2.0,13.0,0.0,-0.2679621700216059,-0.2251384276148509,0.0705963664788232,-0.4307728166345931,-0.1977638315700043,,,12.0,Medium,,19.2
Trey Lance,2021,3,North Dakota State,North Dakota State,2020.0,1.0,,,,,,10.0,,T.Lance,North Dakota St.,SFO,1.0,3.0,4.0,0.0,0.5353609772389583,0.3708353985363855,0.2145925290661551,0.3457260270678573,0.7911970037290358,,,10.0,Low,,
Justin Fields,2021,11,Ohio State,Ohio State,2020.0,1.0,,,,,,8.0,,J.Fields,Ohio St.,CHI,1.0,11.0,12.0,0.0,-0.2433074226759889,-0.2352140303408883,0.1323133643943155,-0.4329084067354065,0.1299069488432614,,,8.0,Low,,28.4
Mac Jones,2021,15,Alabama,Alabama,2020.0,1.0,,,,,,13.0,,M.Jones,Alabama,NWE,1.0,15.0,18.0,0.0,-0.011478853988985,0.0379586844497974,0.063117390413302,-0.1487480023851415,0.1328863512400867,,,13.0,High,,28.3
Kellen Mond,2021,66,Texas A&M,Texas A&M,2020.0,3.0,,,,,,10.0,,K.Mond,Texas A&M,MIN,3.0,66.0,1.0,0.0,-0.5457317529980913,-0.5457317529980913,,-0.5457317529980913,-0.5457317529980913,,,10.0,Low,,16.2
Davis Mills,2021,67,Stanford,Stanford,2020.0,3.0,,,,,,6.0,,D.Mills,Stanford,HOU,3.0,67.0,13.0,0.0,-0.1852126131639208,-0.1573644413578058,0.0889559264157445,-0.3209356673387602,0.049804200283909,,,6.0,Low,,1.6
Ian Book,2021,133,Notre Dame,Notre Dame,2020.0,4.0,,,,,,12.0,,I.Book,Notre Dame,NOR,4.0,133.0,1.0,0.0,-1.16121555476473,-1.16121555476473,,-1.16121555476473,-1.16121555476473,,,12.0,Medium,,21.0
Kenny Pickett,2022,20,Pittsburgh,Pittsburgh,2021.0,1.0,,,,,,14.0,,K.Pickett,Pittsburgh,PIT,1.0,20.0,13.0,0.0,-0.1545109651395489,-0.1876131423408557,0.0789971454083985,-0.2966966582037609,-0.0274531135446133,,,14.0,High,,17.6
Desmond Ridder,2022,74,Cincinnati,Cincinnati,2021.0,3.0,,,,,,14.0,,D.Ridder,Cincinnati,ATL,3.0,74.0,4.0,0.0,-0.107405704133691,-0.0235466978970623,0.0776678934014479,-0.2114537023651199,-0.0235466978970623,,,14.0,High,,21.2
Malik Willis,2022,86,Liberty,Liberty,2021.0,3.0,,,,,,13.0,,M.Willis,Liberty,TEN,3.0,86.0,6.0,0.0,-0.4194787990680296,-0.3964534988491202,0.0720444198435107,-0.5218670141432779,-0.3192018965289119,,,13.0,High,,8.4
Bailey Zappe,2022,137,Western Kentucky,Western Kentucky,2021.0,4.0,,,,,,14.0,,B.Zappe,Western Kentucky,NWE,4.0,137.0,4.0,0.0,-0.1165663874797361,-0.040938676818634,0.1580090487702463,-0.3468530721234217,0.0065308371612466,,,14.0,High,,13.3
Sam Howell,2022,144,North Carolina,North Carolina,2021.0,5.0,,,,,,13.0,,S.Howell,North Carolina,WAS,5.0,144.0,1.0,0.0,-0.4578595961141502,-0.4578595961141502,,-0.4578595961141502,-0.4578595961141502,,,13.0,High,,6.4
Skylar Thompson,2022,247,Kansas State,Kansas St.,2021.0,7.0,,,,,,0.0,,S.Thompson,Kansas St.,MIA,7.0,247.0,8.0,0.0,-0.3596309354903609,-0.4943136776537319,0.2245507737107086,-0.6151826669702591,-0.0056983285943289,,,0.0,,,
Brock Purdy,2022,262,Iowa State,Iowa State,2021.0,7.0,,,,,,13.0,,B.Purdy,Iowa St.,SFO,7.0,262.0,10.0,0.0,0.0760626250159369,0.0390257649739643,0.049936238992314,-0.0247364028613209,0.1576688689331909,,,13.0,High,,14.3
Bryce Young,2023,1,Alabama,Alabama,2022.0,1.0,,,,,,13.0,,B.Young,Alabama,CAR,1.0,1.0,16.0,0.0,-0.2895325394428164,-0.2946049075085705,0.0347671439539097,-0.3430506819154013,-0.2091883344692787,,,13.0,High,,30.3
C.J. Stroud,2023,2,Ohio State,Ohio State,2022.0,1.0,,,,,,13.0,,C.Stroud,Ohio St.,HOU,1.0,2.0,17.0,0.0,0.0046562043687712,0.0319699523087631,0.0763363978283614,-0.2434226485102652,0.0795817574522242,,,13.0,High,,31.1
Anthony Richardson,2023,4,Florida,Florida,2022.0,1.0,,,,,,13.0,,A.Richardson,Florida,IND,1.0,4.0,4.0,0.0,0.0087500410717835,0.0934801699190172,0.1389250145820856,-0.1913977087169638,0.1111888690812738,,,13.0,High,,10.4
Will Levis,2023,33,Kentucky,Kentucky,2022.0,2.0,,,,,,13.0,,W.Levis,Kentucky,TEN,2.0,33.0,9.0,0.0,-0.0789141912258541,-0.2082099956746135,0.0704821032734603,-0.2082099956746135,0.0594338666926923,,,13.0,High,,13.0
Aidan O'Connell,2023,135,Purdue,Purdue,2022.0,4.0,,,,,,14.0,,A.O'Connell,Purdue,LVR,4.0,135.0,11.0,0.0,-0.101467998656284,-0.0931723495332383,0.0714212325607157,-0.1734849196821039,0.0456980820317867,,,14.0,High,,7.7
Clayton Tune,2023,139,Houston,Houston,2022.0,5.0,,,,,,13.0,,C.Tune,Houston,ARI,5.0,139.0,2.0,0.0,-1.60240921968794,-1.441367621630512,0.2277472120790512,-1.7634508177453678,-1.441367621630512,,,13.0,High,,4.5
Dorian Thompson-Robinson,2023,140,UCLA,UCLA,2022.0,5.0,,,,,,13.0,,D.Thompson-Robinson,UCLA,CLE,5.0,140.0,6.0,0.0,-0.0391251294052118,0.0531175095676659,0.2242340687978491,-0.3810704462578567,0.3081923121426825,,,13.0,High,,15.0
Sean Clifford,2023,149,Penn State,Penn State,2022.0,5.0,,,,,,13.0,,S.Clifford,Penn St.,GNB,5.0,149.0,1.0,0.0,2.057503431210525,2.057503431210525,,2.057503431210525,2.057503431210525,,,13.0,High,,22.4
Jaren Hall,2023,164,BYU,BYU,2022.0,5.0,,,,,,13.0,,J.Hall,BYU,MIN,5.0,164.0,3.0,0.0,-0.2987112474474881,-0.3781316433760754,0.3291751673277651,-0.5809103399955562,0.062908241029167,,,13.0,High,,-1.4
Garrett Grayson,2015,75,Colorado St.,Colorado St.,2014.0,3.0,,,,,,,,,,NOR,3.0,75.0,,,,,,,,,,,,,
Bryce Petty,2015,103,Baylor,Baylor,2014.0,4.0,,,,,,,,,,NYJ,4.0,103.0,,,,,,,,,,,,,
Brett Hundley,2015,147,UCLA,UCLA,2014.0,5.0,,,,,,,,,,GNB,5.0,147.0,,,,,,,,,,,,,
Trevor Siemian,2015,250,Northwestern,Northwestern,2014.0,7.0,,,,,,,,,,DEN,7.0,250.0,,,,,,,,,,,,,
Christian Hackenberg,2016,51,Penn St.,Penn St.,2015.0,2.0,,,,,,,,,,NYJ,2.0,51.0,,,,,,,,,,,,,
Nate Sudfeld,2016,187,Indiana,Indiana,2015.0,6.0,,,,,,,,,,WAS,6.0,187.0,,,,,,,,,,,,,
Jake Rudock,2016,191,Michigan,Michigan,2015.0,6.0,,,,,,,,,,DET,6.0,191.0,,,,,,,,,,,,,
Brandon Allen,2016,201,Arkansas,Arkansas,2015.0,6.0,,,,,,,,,,JAX,6.0,201.0,,,,,,,,,,,,,
Jeff Driskel,2016,207,Louisiana Tech,Louisiana Tech,2015.0,6.0,,,,,,,,,,SFO,6.0,207.0,,,,,,,,,,,,,
Brandon Doughty,2016,223,Western Kentucky,Western Kentucky,2015.0,7.0,,,,,,,,,,MIA,7.0,223.0,,,,,,,,,,,,,
Davis Webb,2017,87,California,California,2016.0,3.0,,,,,,,,,,NYG,3.0,87.0,,,,,,,,,,,,,
Joshua Dobbs,2017,135,Tennessee,Tennessee,2016.0,4.0,,,,,,,,,,PIT,4.0,135.0,,,,,,,,,,,,,
Brad Kaaya,2017,215,Miami (FL),Miami (FL),2016.0,6.0,,,,,,,,,,DET,6.0,215.0,,,,,,,,,,,,,
Chad Kelly,2017,253,Mississippi,Mississippi,2016.0,7.0,,,,,,,,,,DEN,7.0,253.0,,,,,,,,,,,,,
Mason Rudolph,2018,76,Oklahoma St.,Oklahoma St.,2017.0,3.0,,,,,,,,,,PIT,3.0,76.0,,,,,,,,,,,,,
Mike White,2018,171,Western Kentucky,Western Kentucky,2017.0,5.0,,,,,,,,,,DAL,5.0,171.0,,,,,,,,,,,,,
Luke Falk,2018,199,Washington St.,Washington St.,2017.0,6.0,,,,,,,,,,TEN,6.0,199.0,,,,,,,,,,,,,
Tanner Lee,2018,203,Nebraska,Nebraska,2017.0,6.0,,,,,,,,,,JAX,6.0,203.0,,,,,,,,,,,,,
Danny Etling,2018,219,LSU,LSU,2017.0,7.0,,,,,,,,,,NWE,7.0,219.0,,,,,,,,,,,,,
Alex McGough,2018,220,Florida International,Florida International,2017.0,7.0,,,,,,,,,,SEA,7.0,220.0,,,,,,,,,,,,,
Logan Woodside,2018,249,Toledo,Toledo,2017.0,7.0,,,,,,,,,,CIN,7.0,249.0,,,,,,,,,,,,,
Easton Stick,2019,166,North Dakota St.,North Dakota St.,2018.0,5.0,,,,,,,,,,LAC,5.0,166.0,,,,,,,,,,,,,
Clayton Thorson,2019,167,Northwestern,Northwestern,2018.0,5.0,,,,,,,,,,PHI,5.0,167.0,,,,,,,,,,,,,
Trace McSorley,2019,197,Penn St.,Penn St.,2018.0,6.0,,,,,,,,,,BAL,6.0,197.0,,,,,,,,,,,,,
Jordan Love,2020,26,Utah St.,Utah St.,2019.0,1.0,,,,,,,,,,GNB,1.0,26.0,,,,,,,,,,,,,
Jacob Eason,2020,122,Washington,Washington,2019.0,4.0,,,,,,,,,,IND,4.0,122.0,,,,,,,,,,,,,
James Morgan,2020,125,Florida International,Florida International,2019.0,4.0,,,,,,,,,,NYJ,4.0,125.0,,,,,,,,,,,,,
Jake Fromm,2020,167,Georgia,Georgia,2019.0,5.0,,,,,,,,,,BUF,5.0,167.0,,,,,,,,,,,,,
Cole McDonald,2020,224,Hawaii,Hawaii,2019.0,7.0,,,,,,,,,,TEN,7.0,224.0,,,,,,,,,,,,,
Tommy Stevens,2020,240,Mississippi St.,Mississippi St.,2019.0,7.0,,,,,,,,,,NOR,7.0,240.0,,,,,,,,,,,,,
Nate Stanley,2020,244,Iowa,Iowa,2019.0,7.0,,,,,,,,,,MIN,7.0,244.0,,,,,,,,,,,,,
Kyle Trask,2021,64,Florida,Florida,2020.0,2.0,,,,,,,,,,TAM,2.0,64.0,,,,,,,,,,,,,
Sam Ehlinger,2021,218,Texas,Texas,2020.0,6.0,,,,,,,,,,IND,6.0,218.0,,,,,,,,,,,,,
